year,month,day,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020,01,01,1.1,-1,3.4,0,0,113,14.8,33.5,1032.4,150
2020,01,02,1.8,-2.3,5.3,0,0,134,12.6,29.5,1026.7,48
2020,01,03,7.8,4.2,10.2,2.4,0,201,20.2,53.6,1020.1,0
2020,01,04,5.3,2.2,7.1,2,0,270,14.8,40,1029.7,0
2020,01,05,6.2,5.4,7.2,0,0,231,8.3,20.9,1034.2,0
2020,01,06,4.9,0.9,7.6,1.7,0,164,13.3,27.7,1026.5,318
2020,01,07,5.7,1.9,8.7,0.1,0,180,8.6,24.8,1026,12
2020,01,08,8.7,5.5,10.8,4.8,0,159,14,35.3,1024,0
2020,01,09,10.7,9.4,12.6,10.9,0,151,14,35.3,1014.7,0
2020,01,10,7.5,2,10.8,2.9,0,237,13.7,43.2,1018.8,0
2020,01,11,3.7,0.7,7.1,0,0,159,9.7,26.6,1031,54
2020,01,12,4.5,0.3,7.7,0,0,161,15.8,37.1,1023.6,156
2020,01,13,6.5,3.2,9.5,0,0,172,15.1,48.2,1017.8,102
2020,01,14,10.5,8.2,12.5,0,0,191,25.9,55.1,1009,0
2020,01,15,11.7,8.3,13.8,0,0,196,21.2,51.1,1014.1,120
2020,01,16,8.2,0.9,12.5,0,0,134,13.3,31.3,1024.1,414
2020,01,17,8.3,5,10.4,1.1,0,164,14.4,38.2,1017.3,6
2020,01,18,4.6,2.1,7,1.7,0,236,12.2,31,1024.9,84
2020,01,19,2.9,-0.8,5.3,0.5,0,312,6.8,18.4,1037.5,24
2020,01,20,1.3,-4.1,5.4,0,0,102,4.7,18.4,1046.5,54
2020,01,21,-0.6,-5.2,6.3,0,0,115,5.8,16.6,1041.6,426
2020,01,22,-1,-5.6,1.2,0,0,134,4.3,16.2,1036.8,0
2020,01,23,1.7,-2.5,2.9,0,0,121,8.6,24.1,1031.3,0
2020,01,24,0.4,-0.1,1,0,0,126,10.8,27,1023.9,0
2020,01,25,1.5,-0.2,3.3,0,0,124,10.8,22.3,1021.6,0
2020,01,26,4.4,0.5,9.2,0.5,0,131,14.4,27.7,1016.6,312
2020,01,27,6.9,3.4,9.3,7.1,0,151,15.8,40.7,1006.9,0
2020,01,28,5.4,2.3,7.9,2.4,0,216,20.5,65.5,996.6,90
2020,01,29,4.7,3.4,6.7,1.1,0,248,17.6,52.9,1007.9,36
2020,01,30,7.8,5,13.1,2,0,181,14.8,35.6,1009,78
2020,01,31,12.3,9.3,15.9,0.4,0,243,14.4,51.8,1008.6,204
2020,02,01,10.8,8.2,12.1,13.1,0,219,15.5,49.3,1005.9,6
2020,02,02,9.6,5.8,13.8,3.6,0,229,18.7,54.4,1009.3,0
2020,02,03,9.8,4.9,11.8,17.1,0,261,18.7,52.9,1011.3,6
2020,02,04,4.7,3.8,6.5,1.6,0,282,18,58,1014.5,24
2020,02,05,4,0.6,7.8,0,0,301,9.4,25.9,1033.9,330
2020,02,06,3,-1.6,6.2,0,0,128,6.1,13,1032.2,12
2020,02,07,3.1,-2.6,8,0,0,122,18,41.4,1026.6,498
2020,02,08,5.4,2.3,8.1,0.1,0,124,15.5,29.5,1020.9,0
2020,02,09,10.2,4.3,14,11.1,0,180,30.2,79.6,1007.5,6
2020,02,10,8.1,2.5,10.7,6.6,0,247,36,95,997.1,114
2020,02,11,5.2,1.8,7.8,1.8,0,262,29.9,72.7,1005.2,186
2020,02,12,4.8,1.2,8.6,0,0,249,22,58,1014.3,198
2020,02,13,4.5,0.8,7.7,4.4,0,155,16.2,56.9,1005.6,72
2020,02,14,6.6,4.9,7.9,0.1,0,249,13.7,37.1,1018.2,0
2020,02,15,8.6,4,13.2,0,0,150,18,45,1018.5,366
2020,02,16,14.3,8.5,18.7,0.8,0,201,29.5,82.8,1006.8,48
2020,02,17,8.5,4.1,12.7,0,0,216,19.1,64.8,1013.8,180
2020,02,18,7.3,5.4,9.3,3.3,0,228,20.9,51.8,1021,36
2020,02,19,5.4,1.8,8.4,0.7,0,243,18.7,51.8,1018.7,60
2020,02,20,7.6,4.1,10.3,2.6,0,193,19.8,63,1015.9,12
2020,02,21,6.1,2.7,9.9,0,0,240,19.1,42.5,1025,228
2020,02,22,7.8,1.9,11,3.3,0,198,20.2,53.6,1021.7,42
2020,02,23,10.2,4.9,14.3,3.9,0,253,27.4,83.2,1016.2,0
2020,02,24,7.4,2.3,12.6,2.3,0,201,16.6,45.7,1015.1,0
2020,02,25,8.2,3.1,11.4,3,0,251,20.5,59.4,1000.2,240
2020,02,26,3.3,1.5,4.8,5.5,0,255,20.9,58.7,999.3,0
2020,02,27,2.3,0.2,4.8,12.7,0,195,15.8,37.1,1001.7,0
2020,02,28,4.2,1,7.7,3.6,0,219,18,57.2,1013.4,300
2020,02,29,8.8,5,14.2,1.3,0,182,19.1,76,995.7,30
2020,03,01,7.1,3.9,11.2,11.1,0,208,18,58.7,994.4,120
2020,03,02,5.9,2,10.3,4.3,0,149,14.8,44.3,991.5,24
2020,03,03,5,1.5,9.3,1.1,0,246,12.2,42.5,1002.5,366
2020,03,04,5.5,1.5,10.3,0.5,0,193,11.9,42.5,1009.8,174
